Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Idaho Center,8,7,Ridgecrest Plaza Retail & Office Suites For Lease,5830 - 5840 East Franklin Road,5842 Franklin,Nampa,Idaho,83687     ,,1286 SF,Idaho Center,Community Center,Negotiable,Negotiable,,NNN,19552620,LeAnn Hume CCIM CLS,FIELD UNAVAILABLE,leann.hume@paccra.com,(208) 287-9500 Ext: 8436, ,http://www.loopnet.com/lid/19552620,
Idaho Center,8,8,Ridgecrest Plaza Retail & Office Suites For Lease,5830 - 5840 East Franklin Road,5826 Franklin,Nampa,Idaho,83687     ,,2288 SF,Idaho Center,Community Center,Negotiable,Negotiable,,NNN,19552620,LeAnn Hume CCIM CLS,FIELD UNAVAILABLE,leann.hume@paccra.com,(208) 287-9500 Ext: 8436,BUILT-OUT DENTAL OFFICE,http://www.loopnet.com/lid/19552620,
Idaho Center,1,1,Legend Building,5680 E Franklin Rd,110,Nampa,Idaho,83687     ,26750 SF,3217 SF,Idaho Center,Office Building,$1.46 /SF/Mo,$17.50 /SF/Yr,,Full Service,20105161,Bryant Jones,Colliers International,bryant.jones@colliersidaho.net,(208) 602-0099, ,http://www.loopnet.com/lid/20105161,
Idaho Center,1,1,Centennial Plastics Industrial Land,Treasure Valley Way and Star Road,Space 1,Nampa,Idaho,83687     ,,178160 SF,Idaho Center,Industrial (land),$0.04 /SF/Mo,$0.48 /SF/Yr,, ,20057454,Jake Tucker,Colliers International,jake.tucker@colliers.com,(208) 850-6891,NNN,http://www.loopnet.com/lid/20057454,
Idaho Center,1,1,1 Month Free Rent!! Redstone Professional Building,16231 North Brinson Street,16232,Nampa,Idaho,83687     ,9000 SF,2482 SF,Idaho Center,Office Building,$1.50 /SF/Mo,$18 /SF/Yr,,Full Service,19779366,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568,For Lease - $18.00/SF - 2482 SF - Built-Out,http://www.loopnet.com/lid/19779366,
Idaho Center,6,1,Premier Building,5700 E Franklin Blvd,110,Nampa,Idaho,83686     ,33886 SF,582 SF,Idaho Center,Office Building,$1.42 /SF/Mo,$17 /SF/Yr,,Full Service,18578722,Lincoln Hagood,Colliers International,lincoln.hagood@colliers.com,(208) 472-1667, ,http://www.loopnet.com/lid/18578722,
Idaho Center,6,2,Premier Building,5700 E Franklin Blvd,180/190,Nampa,Idaho,83686     ,33886 SF,1782 SF,Idaho Center,Office Building,$1.42 /SF/Mo,$17 /SF/Yr,,Full Service,18578722,Lincoln Hagood,Colliers International,lincoln.hagood@colliers.com,(208) 472-1667, ,http://www.loopnet.com/lid/18578722,
Idaho Center,6,3,Premier Building,5700 E Franklin Blvd,220-I,Nampa,Idaho,83686     ,33886 SF,195 SF,Idaho Center,Office Building,$1.67 /SF/Mo,$20 /SF/Yr,,Full Service,18578722,Lincoln Hagood,Colliers International,lincoln.hagood@colliers.com,(208) 472-1667, ,http://www.loopnet.com/lid/18578722,
Idaho Center,6,4,Premier Building,5700 E Franklin Blvd,220-H,Nampa,Idaho,83686     ,33886 SF,166 SF,Idaho Center,Office Building,$1.81 /SF/Mo,$21.69 /SF/Yr,,Full Service,18578722,Lincoln Hagood,Colliers International,lincoln.hagood@colliers.com,(208) 472-1667, ,http://www.loopnet.com/lid/18578722,
Idaho Center,6,5,Premier Building,5700 E Franklin Blvd,220-E,Nampa,Idaho,83686     ,33886 SF,192 SF,Idaho Center,Office Building,$2.03 /SF/Mo,$24.38 /SF/Yr,,Full Service,18578722,Lincoln Hagood,Colliers International,lincoln.hagood@colliers.com,(208) 472-1667, ,http://www.loopnet.com/lid/18578722,
Idaho Center,6,6,Premier Building,5700 E Franklin Blvd,220-F,Nampa,Idaho,83686     ,33886 SF,162 SF,Idaho Center,Office Building,$2.16 /SF/Mo,$25.93 /SF/Yr,,Full Service,18578722,Lincoln Hagood,Colliers International,lincoln.hagood@colliers.com,(208) 472-1667, ,http://www.loopnet.com/lid/18578722,
Idaho Center,1,1,Mixed Use Lots For Sale Lease & Build-To-Suit,16217 Idaho Center Boulevard,B-T-S,Nampa,Idaho,83687     ,10000 SF,10000 SF,Idaho Center,Free Standing Bldg,Negotiable,Negotiable,,NNN,19393424,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568,Contact Agent for Lease Rates and Built-to-Suit Details,http://www.loopnet.com/lid/19393424,
Idaho Center,2,1,Summit Professional Center,16211 N. Brinson Street,1st Floor,Nampa,Idaho,83687     ,20126 SF,7187 SF,Idaho Center,Office Building,$1.54 /SF/Mo,$18.50 /SF/Yr,,Full Service,19319086,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568,20126 SF FOR SALE - $200.00 / SF - $60.00/SF  T.I. Allowance | 1500 - 17000 SF FOR LEASE - $18.50 / SF FSEJ - $50.00/SF  T.I. Allowance,http://www.loopnet.com/lid/19319086,
Idaho Center,2,2,Summit Professional Center,16211 N. Brinson Street,2nd Floor,Nampa,Idaho,83687     ,20126 SF,10063 SF,Idaho Center,Office Building,$1.54 /SF/Mo,$18.50 /SF/Yr,,Full Service,19319086,Jennifer McEntee,FIELD UNAVAILABLE,jennifer.mcentee@paccra.com,(208) 941-9568,20126 SF FOR SALE - $200.00 / SF - $60.00/SF  T.I. Allowance | 1500 - 17000 SF FOR LEASE - $18.50 / SF FSEJ - $50.00/SF  T.I. Allowance,http://www.loopnet.com/lid/19319086,
Idaho Center,32,1,Nampa Gateway Center,1406 N. Galleria Drive,E105,Nampa,Idaho,83687     ,,1000 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,2,Nampa Gateway Center,1406 N. Galleria Drive,E109,Nampa,Idaho,83687     ,,800 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,3,Nampa Gateway Center,1406 N. Galleria Drive,F111,Nampa,Idaho,83687     ,,925 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,4,Nampa Gateway Center,1406 N. Galleria Drive,F121,Nampa,Idaho,83687     ,,10000 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,5,Nampa Gateway Center,1406 N. Galleria Drive,G108,Nampa,Idaho,83687     ,,1400 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,6,Nampa Gateway Center,1406 N. Galleria Drive,H116,Nampa,Idaho,83687     ,,2800 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,7,Nampa Gateway Center,1406 N. Galleria Drive,E103,Nampa,Idaho,83687     ,,1000 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,8,Nampa Gateway Center,1406 N. Galleria Drive,E107,Nampa,Idaho,83687     ,,800 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,9,Nampa Gateway Center,1406 N. Galleria Drive,E111,Nampa,Idaho,83687     ,,2620 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,10,Nampa Gateway Center,1406 N. Galleria Drive,E113,Nampa,Idaho,83687     ,,4494 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,11,Nampa Gateway Center,1406 N. Galleria Drive,E115,Nampa,Idaho,83687     ,,1498 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,12,Nampa Gateway Center,1406 N. Galleria Drive,E117,Nampa,Idaho,83687     ,,2496 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,13,Nampa Gateway Center,1406 N. Galleria Drive,E118,Nampa,Idaho,83687     ,,2247 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,14,Nampa Gateway Center,1406 N. Galleria Drive,E119,Nampa,Idaho,83687     ,,3500 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,15,Nampa Gateway Center,1406 N. Galleria Drive,E121,Nampa,Idaho,83687     ,,3000 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,16,Nampa Gateway Center,1406 N. Galleria Drive,E124,Nampa,Idaho,83687     ,,6113 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,17,Nampa Gateway Center,1406 N. Galleria Drive,E125,Nampa,Idaho,83687     ,,5200 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,18,Nampa Gateway Center,1406 N. Galleria Drive,F101,Nampa,Idaho,83687     ,,3600 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,19,Nampa Gateway Center,1406 N. Galleria Drive,F104,Nampa,Idaho,83687     ,,5806 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,20,Nampa Gateway Center,1406 N. Galleria Drive,F112,Nampa,Idaho,83687     ,,1163 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,21,Nampa Gateway Center,1406 N. Galleria Drive,F113,Nampa,Idaho,83687     ,,3916 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,22,Nampa Gateway Center,1406 N. Galleria Drive,G103,Nampa,Idaho,83687     ,,8012 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,23,Nampa Gateway Center,1406 N. Galleria Drive,G104,Nampa,Idaho,83687     ,,1000 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,24,Nampa Gateway Center,1406 N. Galleria Drive,G110,Nampa,Idaho,83687     ,,10923 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,25,Nampa Gateway Center,1406 N. Galleria Drive,G116,Nampa,Idaho,83687     ,,7907 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,26,Nampa Gateway Center,1406 N. Galleria Drive,G118,Nampa,Idaho,83687     ,,4000 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,27,Nampa Gateway Center,1406 N. Galleria Drive,G120,Nampa,Idaho,83687     ,,2500 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,28,Nampa Gateway Center,1406 N. Galleria Drive,G121,Nampa,Idaho,83687     ,,5165 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,29,Nampa Gateway Center,1406 N. Galleria Drive,G126,Nampa,Idaho,83687     ,,7175 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,30,Nampa Gateway Center,1406 N. Galleria Drive,H102,Nampa,Idaho,83687     ,,4184 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,31,Nampa Gateway Center,1406 N. Galleria Drive,H110,Nampa,Idaho,83687     ,,2800 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,32,32,Nampa Gateway Center,1406 N. Galleria Drive,H111,Nampa,Idaho,83687     ,,4202 SF,Idaho Center,Regional Center/Mall,Negotiable,Negotiable,,NNN,18856800,Mark Bottles,Mark Bottles Real Estate Services LLC,mbottles@markbottles.com,(208) 866-2222, ,http://www.loopnet.com/lid/18856800,
Idaho Center,7,1,Premier TitleOne Building,5660-5688 E. Franklin Road,201,Nampa,Idaho,83686     ,42419 SF,7289 SF,Idaho Center,Office Building,$1.42 /SF/Mo,$17 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Idaho Center,7,2,Premier TitleOne Building,5660-5688 E. Franklin Road,311,Nampa,Idaho,83686     ,42419 SF,1254 SF,Idaho Center,Office Building,$1.42 /SF/Mo,$17 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Idaho Center,7,3,Premier TitleOne Building,5660-5688 E. Franklin Road,320A,Nampa,Idaho,83686     ,42419 SF,149 SF,Idaho Center,Office Building,$2.11 /SF/Mo,$25.37 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Idaho Center,7,4,Premier TitleOne Building,5660-5688 E. Franklin Road,320C,Nampa,Idaho,83686     ,42419 SF,175 SF,Idaho Center,Office Building,$2.14 /SF/Mo,$25.71 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Idaho Center,7,5,Premier TitleOne Building,5660-5688 E. Franklin Road,320D,Nampa,Idaho,83686     ,42419 SF,138 SF,Idaho Center,Office Building,$1.81 /SF/Mo,$21.74 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Idaho Center,7,6,Premier TitleOne Building,5660-5688 E. Franklin Road,120,Nampa,Idaho,83686     ,42419 SF,1336 SF,Idaho Center,Office Building,$1.42 /SF/Mo,$17 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Idaho Center,7,7,Premier TitleOne Building,5660-5688 E. Franklin Road,301,Nampa,Idaho,83686     ,42419 SF,3528 SF,Idaho Center,Office Building,$1.42 /SF/Mo,$17 /SF/Yr,,Full Service,19258533,Peter Oliver,Thornton Oliver Keller,peter@tokcommercial.com,(208) 947-0816, ,http://www.loopnet.com/lid/19258533,
Central Bench,14,1,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 124,Boise,Idaho,83709     ,90746 SF,861 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,2,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 200,Boise,Idaho,83709     ,90746 SF,865 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,3,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 206,Boise,Idaho,83709     ,90746 SF,1088 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,4,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 210,Boise,Idaho,83709     ,90746 SF,1004 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,5,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 240,Boise,Idaho,83709     ,90746 SF,571 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,6,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,254,Boise,Idaho,83709     ,90746 SF,1580 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,7,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,202,Boise,Idaho,83709     ,90746 SF,1161 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,8,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,260,Boise,Idaho,83709     ,90746 SF,2364 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,9,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,24B,Boise,Idaho,83709     ,90746 SF,908 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,10,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,204,Boise,Idaho,83709     ,90746 SF,869 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,11,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 140,Boise,Idaho,83709     ,90746 SF,1348 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,12,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 90A,Boise,Idaho,83709     ,90746 SF,1735 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,13,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 130,Boise,Idaho,83709     ,90746 SF,550 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,14,14,FRANKLIN BUSINESS PARK | OFFICE/FLEX SPACE,10-270 S. COLE ROAD,Suite 90B,Boise,Idaho,83709     ,90746 SF,836 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19455812,Chase Erkins,FIELD UNAVAILABLE,chasee@leeidaho.com,(208) 789-4900, ,http://www.loopnet.com/lid/19455812,
Central Bench,1,1,,5866 W Franklin Rd,5858,Boise,Idaho,83709     ,31000 SF,10000 SF,Central Bench,Office Showroom,$0.50 /SF/Mo,$6 /SF/Yr,,NNN,20337855,Gary Bates,Michener Investments LLP,gary@michenerinvestments.com,(208) 850-9600, ,http://www.loopnet.com/lid/20337855,
Central Bench,1,1,,2207 W Overland Rd,Space 1,Boise,Idaho,83705     ,2613 SF,2613 SF,Central Bench,Retail (Other),$0.77 /SF/Mo,$9.18 /SF/Yr,,NNN,20328306,Lawrence Ross,Michener Investments LLP,lawrence@michenerinvestments.com,(208) 336-3202, ,http://www.loopnet.com/lid/20328306,
Central Bench,2,1,Norwood Professional Plaza,6540-6560 W Emerald St,Suite 116,Boise,Idaho,83704     ,10942 SF,1825 SF,Central Bench,Medical Office,$1.23 /SF/Mo,$14.75 /SF/Yr,,Modified Gross,20323991,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/20323991,
Central Bench,2,2,Norwood Professional Plaza,6540-6560 W Emerald St,Suite 100,Boise,Idaho,83704     ,10942 SF,649 SF,Central Bench,Medical Office,$1.23 /SF/Mo,$14.75 /SF/Yr,,Modified Gross,20323991,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/20323991,
Central Bench,1,1,,1880 W Judith Ln,Unit 1,Boise,Idaho,83705     ,11840 SF,6040 SF,Central Bench,Office Building,$1.75 /SF/Mo,$21 /SF/Yr,,NNN,20272199,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Medical office condos in excellent condition.,http://www.loopnet.com/lid/20272199,
Central Bench,9,1,820 S. Latah Boise Idaho 83705,820 S Latah St,Space 1,Boise,Idaho,83705     ,4300 SF,4300 SF,Central Bench,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,2,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 1 - Space A,Boise,Idaho,83705     ,4300 SF,801 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,3,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 1 - Space B,Boise,Idaho,83705     ,4300 SF,1712 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,4,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 1 - Space C,Boise,Idaho,83705     ,4300 SF,1305 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,5,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 2 - Space A,Boise,Idaho,83705     ,4300 SF,954 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
